database name	gold	pred	equivalent reason	note
pets_1	SELECT avg(age) FROM student WHERE stuid NOT IN (SELECT T1.stuid FROM student AS T1 JOIN has_pet AS T2 ON T1.stuid  =  T2.stuid)	SELECT Avg(Student.Age) FROM Student WHERE Student.StuID NOT IN (SELECT Has_Pet.StuID FROM Has_Pet)	Semantically rewrite of not in. Create a intermediate column of boolean. Semantically correct redundant join in the gold.  Joining with a parent & primary key will not change the result.	
cre_Doc_Template_Mgt	SELECT template_type_code ,  count(*) FROM Templates GROUP BY template_type_code	select distinct Ref_Template_Types.Template_Type_Code , count(*) from Templates join Ref_Template_Types on Templates.Template_Type_Code = Ref_Template_Types.Template_Type_Code  group by Ref_Template_Types.Template_Type_Code	Semantically correct redundant join in the gold. Joining with a parent & primary key will not change the result.	
pets_1	SELECT count(*) ,  T1.stuid FROM student AS T1 JOIN has_pet AS T2 ON T1.stuid  =  T2.stuid GROUP BY T1.stuid	select count ( * ) , StuID from Has_Pet group by StuID	Semantically correct redundant join in the gold. Joining with a parent & primary key will not change the result.	
cre_Doc_Template_Mgt	SELECT Other_Details FROM Paragraphs WHERE paragraph_text  =  'Korea'	select paragraphs.other_details from paragraphs where paragraphs.paragraph_text like ' value '	Our evaluation method replaces the value 1 in the prediction with the ground truth value "Korea". ' = "Korea"' is semantically equivalent to 'like "Korea"'.	if we do not plug in the value our method is able to distinguish these two queries.
car_1	SELECT T1.Model FROM CAR_NAMES AS T1 JOIN CARS_DATA AS T2 ON T1.MakeId  =  T2.Id WHERE T2.Cylinders  =  4 ORDER BY T2.horsepower DESC LIMIT 1;	SELECT car_names.Model FROM model_list JOIN car_names  on car_names.Model = model_list.Model  JOIN cars_data  on cars_data.Id = car_names.MakeId  WHERE cars_data.Cylinders = 1 ORDER BY cars_data.Horsepower desc LIMIT 1	Semantically correct redundant join in the prediction.  Joining with a parent & primary key will not change the result. Then counting the same column leads to the same results. (our evaluation method also replaces 1 in the predicted query with 4)	if we do not plug in the value our method is able to distinguish these two queries.
cre_Doc_Template_Mgt	SELECT template_type_code FROM Templates GROUP BY template_type_code HAVING count(*)  <  3	select Ref_Template_Types.Template_Type_Code from Templates join Ref_Template_Types on Templates.Template_Type_Code = Ref_Template_Types.Template_Type_Code  group by Ref_Template_Types.Template_Type_Code having  count(*) < 3	Semantically correct redundant join in the prediction.  Joining with a parent & primary key will not change the result. Then counting the same column leads to the same results.	
pets_1	SELECT T2.petid FROM student AS T1 JOIN has_pet AS T2 ON T1.stuid  =  T2.stuid WHERE T1.Lname  =  'Smith'	select T3.PetID from Student as T1 join Has_Pet as T2 on T1.StuID = T2.StuID join Pets as T3 on T2.PetID = T3.PetID where T1.LName = 1	Semantically correct redundant join in the prediction.  Joining with a parent & primary key will not change the result. Then counting the same column leads to the same results.	
voter_1	SELECT count(*) FROM area_code_state	select count ( distinct area_code_state.state ) from area_code_state	Our evaluation method removes all distinct key word to maintain fair comparison with original exact set match; after removal, and counting different columns of the same table leads to the same result	if we keep the distinct key word our test suite is able to distinguish these two queries.
cre_Doc_Template_Mgt	SELECT document_id FROM Paragraphs WHERE paragraph_text  =  'Brazil' INTERSECT SELECT document_id FROM Paragraphs WHERE paragraph_text  =  'Ireland'	select documents.document_id from paragraphs join documents on paragraphs.document_id = documents.document_id where  paragraphs.paragraph_text = 'value'   intersect select documents.document_id from paragraphs join documents on paragraphs.document_id = documents.document_id where  paragraphs.paragraph_text = 'value'	Semantically correct redundant join in the prediction.  Joining with a parent & primary key will not change the result. Then counting the same column leads to the same results.	
pets_1	SELECT avg(age) FROM student WHERE stuid NOT IN (SELECT T1.stuid FROM student AS T1 JOIN has_pet AS T2 ON T1.stuid  =  T2.stuid)	select avg(Student.Age) from Student  where  Student.StuID not  in  ( select Has_Pet.StuID from Has_Pet  )	Semantically correct redundant join in the gold. Joining with a parent & primary key will not change the result.	
tvshow	SELECT id FROM TV_Channel EXCEPT SELECT channel FROM cartoon WHERE directed_by  =  'Ben Jones'	select tv_channel.id from tv_channel where  tv_channel.id not in (select tv_channel.id from cartoon join tv_channel on cartoon.channel = tv_channel.idwhere  cartoon.directed_by = 'value'  )	Semantically correct redundant join in the except clause. Joining with a parent & primary key will not change the result.	
course_teach	SELECT T3.Name ,  T2.Course FROM course_arrange AS T1 JOIN course AS T2 ON T1.Course_ID  =  T2.Course_ID JOIN teacher AS T3 ON T1.Teacher_ID  =  T3.Teacher_ID	select teacher.name , course.course from course_arrange join teacher on course_arrange.Teacher_ID = teacher.Teacher_ID join course on course_arrange.Course_ID = course.Course_ID	Semantically equivalent join, different joining order.	
car_1	SELECT count(*) FROM CONTINENTS;	SELECT Count(DISTINCT continents.Continent) FROM continents	Our evaluation method removes all distinct key word to maintain fair comparison with original exact set match; after removal, and counting different columns of the same table leads to the same result	if we keep the distinct key word our test suite is able to distinguish these two queries.
cre_Doc_Template_Mgt	SELECT count(*) FROM Documents AS T1 JOIN Templates AS T2 ON T1.Template_ID  =  T2.Template_ID WHERE T2.Template_Type_Code  =  'PPT'	select count(*) from Documents join Templates on Documents.Template_ID = Templates.Template_ID join Ref_Template_Types on Templates.Template_Type_Code = Ref_Template_Types.Template_Type_Code where  Ref_Template_Types.Template_Type_Code = 'PPT'	Semantically correct redundant join in the prediction.  Joining with a parent & primary key will not change the result. Then counting the same column leads to the same results.	
world_1	SELECT DISTINCT CountryCode FROM countrylanguage WHERE LANGUAGE != "English"	select country.Code from countrylanguage join country on countrylanguage.CountryCode = country.Code where  countrylanguage.Language != 'English'	Our evaluation method removes all distinct key word to maintain fair comparison with original exact set match. Semantically correct redundant join in the prediction.  Joining with a parent & primary key will not change the result. Then counting the same column leads to the same results.	if we keep the distinct key word our test suite is able to distinguish these two queries.
pets_1	SELECT count(*) FROM student AS T1 JOIN has_pet AS T2 ON T1.stuid  =  T2.stuid WHERE T1.age  >  20	SELECT count( * ) FROM Student AS T1 JOIN Has_Pet AS T2 ON T1.StuID = T2.StuID JOIN Pets AS T3 ON T2.PetID = T3.PetID WHERE T1.Age > 20	Semantically correct redundant join in the prediction.  Joining with a parent & primary key will not change the result. Then counting the same column leads to the same results.	
world_1	SELECT Name FROM country WHERE continent  =  "Europe" AND Population  =  "80000"	SELECT T1.Name FROM country AS T1 WHERE T1.Continent = 1 and T1.Population between 1 AND 2	If we replace the values 1 and 2 both with the ground truth "80000" then "between 80000 and 80000" is semantically equivalent to "= 80000"	if we do not plug in the value our method is likely to distinguish these two queries (we say likely because the prediction does not predict a real value, but only a place holder).
tvshow	SELECT count(DISTINCT series_name) ,  count(DISTINCT content) FROM TV_Channel;	SELECT count( TV_Channel.series_name ) , count( * ) FROM TV_Channel	Our evaluation method removes all distinct key word to maintain fair comparison with original exact set match; after removal, and counting different columns of the same table leads to the same result	if we keep the distinct key word our test suite is able to distinguish these two queries.
world_1	SELECT COUNT(T2.Language) ,  T1.Name FROM country AS T1 JOIN countrylanguage AS T2 ON T1.Code  =  T2.CountryCode GROUP BY T1.Name HAVING COUNT(*)  >  2	SELECT T1.Name,count( * ) FROM country AS T1 JOIN countrylanguage AS T2 ON T1.Code = T2.CountryCode GROUP BY T1.Name HAVING count( * ) > 2	Counting different columns of the same "groups of tables" are semantically the same.  	
student_transcripts_tracking	SELECT count(DISTINCT degree_summary_name) FROM Degree_Programs	SELECT Count(DISTINCT Degree_Programs.degree_program_id) FROM Degree_Programs	Our evaluation method removes all distinct key word to maintain fair comparison with original exact set match; after removal, and counting different columns of the same table leads to the same result	if we keep the distinct key word our test suite is able to distinguish these two queries.
flight_2	SELECT count(*) FROM FLIGHTS WHERE SourceAirport  =  "APG"	select count ( * ) from flights where flights.sourceairport like " % apg % "	Our evaluation method replaces the value "% ual %" in the prediction with the ground truth value "APG". ' = "APG"' is semantically equivalent to 'like "APG"'.	if we do not plug in the value our method is able to distinguish these two queries.
wta_1	SELECT DISTINCT winner_name ,  winner_rank FROM matches ORDER BY winner_age LIMIT 3	SELECT T2.winner_name,T2.winner_rank FROM players AS T1 JOIN matches AS T2 ON T1.player_id = T2.winner_id ORDER BY T2.winner_age LIMIT 3	Semantically correct redundant join in the prediction.  Joining with a parent & primary key will not change the result. Then counting the same column leads to the same results.	
car_1	SELECT mpg FROM CARS_DATA WHERE Cylinders  =  8 OR YEAR  <  1980 ORDER BY mpg DESC LIMIT 1;	SELECT max(MPG) FROM cars_data WHERE Cylinders = 1 OR Year < 1	Max value is equivalent to sorting with descending order limit 1. (need to replace the placeholders "1" in the predictions )	
car_1	SELECT mpg FROM CARS_DATA WHERE Cylinders  =  8 OR YEAR  <  1980 ORDER BY mpg DESC LIMIT 1;	SELECT max( MPG ) FROM cars_data WHERE Cylinders = 8 or Year < 1980		
cre_Doc_Template_Mgt	SELECT T1.template_type_code FROM Templates AS T1 JOIN Documents AS T2 ON T1.template_id  =  T2.template_id WHERE T2.document_name  =  "Data base"	select T1.Template_Type_Code from Ref_Template_Types as T1 join Templates as T2 on T1.Template_Type_Code = T2.Template_Type_Code join Documents as T3 on T2.Template_ID = T3.Template_ID where T3.Document_Name = 1		
pets_1	SELECT T2.petid FROM student AS T1 JOIN has_pet AS T2 ON T1.stuid  =  T2.stuid WHERE T1.Lname  =  'Smith'	select pets.petid from Has_Pet join Student on Has_Pet.StuID = Student.StuID join Pets on Has_Pet.PetID = Pets.PetID where  student.lname = "value"		
car_1	SELECT T1.Model FROM CAR_NAMES AS T1 JOIN CARS_DATA AS T2 ON T1.MakeId  =  T2.Id ORDER BY T2.horsepower ASC LIMIT 1;	select model_list.model from cars_data join car_names on cars_data.Id = car_names.MakeId join model_list on car_names.Model = model_list.Model   order by cars_data.horsepower asc limit 1		
car_1	SELECT count(*) FROM MODEL_LIST AS T1 JOIN CAR_MAKERS AS T2 ON T1.Maker  =  T2.Id JOIN COUNTRIES AS T3 ON T2.Country  =  T3.CountryId WHERE T3.CountryName  =  'usa';	SELECT count( * ) FROM countries JOIN car_makers  on car_makers.Country = countries.CountryId  JOIN model_list  on model_list.Maker = car_makers.Id  WHERE countries.CountryName = 1		
car_1	SELECT avg(T2.edispl) FROM CAR_NAMES AS T1 JOIN CARS_DATA AS T2 ON T1.MakeId  =  T2.Id WHERE T1.Model  =  'volvo';	select avg(cars_data.edispl) from cars_data join car_names on cars_data.Id = car_names.MakeId join model_list on car_names.Model = model_list.Model where  model_list.model = "value"		
cre_Doc_Template_Mgt	SELECT document_id ,  template_id ,  Document_Description FROM Documents WHERE document_name  =  "Robbin CV"	select documents.document_id , templates.template_id , documents.document_description from documents join templates on documents.template_id = templates.template_id where documents.document_name = ' value '		
tvshow	SELECT count(*) ,  Directed_by FROM cartoon GROUP BY Directed_by	SELECT count(T1.Title), T1.Directed_by FROM Cartoon AS T1  GROUP BY T1.Directed_by		
cre_Doc_Template_Mgt	SELECT T1.template_type_code FROM Templates AS T1 JOIN Documents AS T2 ON T1.template_id  =  T2.template_id GROUP BY T1.template_type_code ORDER BY count(*) DESC LIMIT 1	SELECT Ref_Template_Types.Template_Type_Code FROM Ref_Template_Types JOIN Templates  on Templates.Template_Type_Code = Ref_Template_Types.Template_Type_Code  JOIN Documents  on Documents.Template_ID = Templates.Template_ID  GROUP BY Ref_Template_Types.Template_Type_Code ORDER BY count( * ) desc LIMIT 1		
wta_1	SELECT winner_name ,  loser_name FROM matches ORDER BY minutes DESC LIMIT 1	SELECT T2.loser_name,T2.winner_name FROM players AS T1 JOIN matches AS T2 ON T1.player_id = T2.winner_id ORDER BY T2.minutes DESC LIMIT 1		
cre_Doc_Template_Mgt	SELECT document_id FROM Paragraphs GROUP BY document_id HAVING count(*) BETWEEN 1 AND 2	select T1.Document_ID from Paragraphs as T1 join Documents as T2 on T1.Document_ID = T2.Document_ID group by T1.Document_ID having count ( * ) between 1 and 1		
flight_2	SELECT count(*) FROM FLIGHTS AS T1 JOIN AIRPORTS AS T2 ON T1.DestAirport  =  T2.AirportCode JOIN AIRLINES AS T3 ON T3.uid  =  T1.Airline WHERE T2.City  =  "Aberdeen" AND T3.Airline  =  "United Airlines"	SELECT count( * ) FROM airlines AS T1 JOIN flights AS T2 ON T1.uid = T2.Airline JOIN airports AS T3 ON T2.DestAirport = T3.AirportCode WHERE T3.City = 'aberdeen' and T1.Airline = 'united airlines'		
world_1	SELECT count(*) FROM country WHERE GovernmentForm  =  "Republic"	select count ( GovernmentForm ) from country where GovernmentForm = 1		
pets_1	SELECT avg(age) FROM student WHERE stuid NOT IN (SELECT T1.stuid FROM student AS T1 JOIN has_pet AS T2 ON T1.stuid  =  T2.stuid)	SELECT Avg(Student.Age) FROM Student WHERE Student.StuID NOT IN (SELECT Has_Pet.StuID FROM Has_Pet)		
cre_Doc_Template_Mgt	SELECT count(*) FROM Documents AS T1 JOIN Templates AS T2 ON T1.Template_ID  =  T2.Template_ID WHERE T2.Template_Type_Code  =  'PPT'	select count(*) from Documents join Templates on Documents.Template_ID = Templates.Template_ID join Ref_Template_Types on Templates.Template_Type_Code = Ref_Template_Types.Template_Type_Code where  Ref_Template_Types.Template_Type_Code = 'PPT'		
car_1	SELECT DISTINCT T1.model FROM MODEL_LIST AS T1 JOIN CAR_NAMES AS T2 ON T1.Model  =  T2.Model JOIN CARS_DATA AS T3 ON T2.MakeId  =  T3.Id JOIN CAR_MAKERS AS T4 ON T1.Maker  =  T4.Id WHERE T3.weight  <  3500 AND T4.FullName != 'Ford Motor Company';	select distinct model_list.Model from cars_data join car_names on cars_data.Id = car_names.MakeId join model_list on car_names.Model = model_list.Model join car_makers on model_list.Maker = car_makers.Id where  cars_data.Weight < 3500 and car_makers.FullName != 'Ford Motor Company'		
student_transcripts_tracking	SELECT count(DISTINCT department_id) FROM Degree_Programs	select count( distinct degree_programs.degree_summary_name) from Degree_Programs		
course_teach	SELECT T3.Name ,  T2.Course FROM course_arrange AS T1 JOIN course AS T2 ON T1.Course_ID  =  T2.Course_ID JOIN teacher AS T3 ON T1.Teacher_ID  =  T3.Teacher_ID ORDER BY T3.Name	select teacher.Name , course.Course from course_arrange join teacher on course_arrange.Teacher_ID = teacher.Teacher_ID join course on course_arrange.Course_ID = course.Course_ID   order by teacher.Name asc		
world_1	SELECT LANGUAGE FROM countrylanguage GROUP BY LANGUAGE ORDER BY count(*) DESC LIMIT 1	select countrylanguage.Language from countrylanguage join country on countrylanguage.CountryCode = country.Code  group by countrylanguage.Language  order by count(*) desc limit 1		
pets_1	SELECT avg(age) FROM student WHERE stuid NOT IN (SELECT T1.stuid FROM student AS T1 JOIN has_pet AS T2 ON T1.stuid  =  T2.stuid)	SELECT avg(Student.Age) FROM Student WHERE Student.StuID NOT IN (SELECT StuID FROM Has_Pet)		
network_1	SELECT avg(grade) FROM Highschooler WHERE id IN (SELECT T1.student_id FROM Friend AS T1 JOIN Highschooler AS T2 ON T1.student_id  =  T2.id)	SELECT Avg(Highschooler.grade) FROM Highschooler WHERE Highschooler.ID IN (SELECT Friend.student_id FROM Friend)		
car_1	SELECT DISTINCT T1.Maker FROM CAR_MAKERS AS T1 JOIN MODEL_LIST AS T2 ON T1.Id  =  T2.Maker JOIN CAR_NAMES AS T3 ON T2.model  =  T3.model JOIN CARS_DATA AS T4 ON T3.MakeId  =  T4.id WHERE T4.year  =  '1970';	select car_makers.Maker from cars_data join car_names on cars_data.Id = car_names.MakeId join model_list on car_names.Model = model_list.Model join car_makers on model_list.Maker = car_makers.Id where  cars_data.Year = "value"		
tvshow	SELECT id FROM TV_Channel EXCEPT SELECT channel FROM cartoon WHERE directed_by  =  'Ben Jones'	select tv_channel.id from TV_Channel where  tv_channel.id not in (select tv_channel.id from Cartoon join TV_Channel on Cartoon.Channel = TV_Channel.id where  cartoon.directed_by = "value"  )		
cre_Doc_Template_Mgt	SELECT Other_Details FROM Paragraphs WHERE paragraph_text  =  'Korea'	SELECT Paragraphs.Other_Details FROM Paragraphs WHERE Paragraphs.Paragraph_Text LIKE 'terminal'		
world_1	SELECT LANGUAGE FROM countrylanguage GROUP BY LANGUAGE ORDER BY count(*) DESC LIMIT 1	SELECT countrylanguage.Language FROM country JOIN countrylanguage GROUP BY countrylanguage.Language ORDER BY Count(*) Desc LIMIT 1		
orchestra	SELECT Major_Record_Format FROM orchestra GROUP BY Major_Record_Format ORDER BY COUNT(*) ASC	SELECT T1.Major_Record_Format FROM orchestra AS T1 JOIN performance AS T3  GROUP BY T1.Major_Record_Format   ORDER BY count(*) ASC		
dog_kennels	SELECT count(*) FROM Owners WHERE owner_id NOT IN ( SELECT owner_id FROM Dogs )	select count ( * ) from owners where not ( owners.owner_id in ( select dogs.owner_id from dogs ) )		
concert_singer	SELECT name ,  capacity FROM stadium ORDER BY average DESC LIMIT 1	select stadium.name , stadium.capacity from stadium  group by stadium.Stadium_ID  order by avg(stadium.average) desc limit 1		
course_teach	SELECT T3.Name ,  T2.Course FROM course_arrange AS T1 JOIN course AS T2 ON T1.Course_ID  =  T2.Course_ID JOIN teacher AS T3 ON T1.Teacher_ID  =  T3.Teacher_ID	select teacher.Name , course.Course from course_arrange join teacher on course_arrange.Teacher_ID = teacher.Teacher_ID join course on course_arrange.Course_ID = course.Course_ID		
car_1	SELECT T1.cylinders FROM CARS_DATA AS T1 JOIN CAR_NAMES AS T2 ON T1.Id  =  T2.MakeId WHERE T2.Model  =  'volvo' ORDER BY T1.accelerate ASC LIMIT 1;	SELECT T3.Cylinders FROM model_list AS T1 JOIN car_names AS T2 ON T1.Model = T2.Model JOIN cars_data AS T3 ON T2.MakeId = T3.Id WHERE T1.Model = 'volvo' ORDER BY T3.Accelerate LIMIT 1		
cre_Doc_Template_Mgt	SELECT T1.template_type_code FROM Templates AS T1 JOIN Documents AS T2 ON T1.template_id  =  T2.template_id GROUP BY T1.template_type_code ORDER BY count(*) DESC LIMIT 1	SELECT Ref_Template_Types.Template_Type_Code FROM Ref_Template_Types JOIN Templates  on Templates.Template_Type_Code = Ref_Template_Types.Template_Type_Code  JOIN Documents  on Documents.Template_ID = Templates.Template_ID  GROUP BY Ref_Template_Types.Template_Type_Code ORDER BY count( * ) desc LIMIT 1		
network_1	SELECT student_id ,  count(*) FROM Friend GROUP BY student_id	select count ( * ) , friend.student_id from highschooler join friend on highschooler.id = friend.student_id group by friend.student_id		
car_1	SELECT count(*) FROM MODEL_LIST AS T1 JOIN CAR_MAKERS AS T2 ON T1.Maker  =  T2.Id JOIN COUNTRIES AS T3 ON T2.Country  =  T3.CountryId WHERE T3.CountryName  =  'usa';	SELECT count( * ) FROM countries JOIN car_makers  on car_makers.Country = countries.CountryId  JOIN model_list  on model_list.Maker = car_makers.Id  WHERE countries.CountryName = 1		
cre_Doc_Template_Mgt	SELECT Other_Details FROM Paragraphs WHERE paragraph_text  =  'Korea'	SELECT Paragraphs.Other_Details FROM Paragraphs WHERE Paragraphs.Paragraph_Text like 1		
pets_1	SELECT T2.petid FROM student AS T1 JOIN has_pet AS T2 ON T1.stuid  =  T2.stuid WHERE T1.Lname  =  'Smith'	select Pets.PetID from Has_Pet join Student on Has_Pet.StuID = Student.StuID join Pets on Has_Pet.PetID = Pets.PetID where  Student.LName = 'Smith'		
tvshow	SELECT id FROM TV_Channel EXCEPT SELECT channel FROM cartoon WHERE directed_by  =  'Ben Jones'	select id from TV_Channel except select T1.id from TV_Channel as T1 join Cartoon as T2 on T1.id = T2.Channel where T2.Directed_by = 1		
cre_Doc_Template_Mgt	SELECT document_id FROM Paragraphs GROUP BY document_id HAVING count(*) BETWEEN 1 AND 2	SELECT Documents.Document_ID FROM Documents JOIN Paragraphs  on Paragraphs.Document_ID = Documents.Document_ID  GROUP BY Paragraphs.Document_ID HAVING count( * ) between 1 and 2		
cre_Doc_Template_Mgt	SELECT document_id FROM Paragraphs GROUP BY document_id ORDER BY count(*) ASC LIMIT 1	select T2.Document_ID from Documents as T1 join Paragraphs as T2 on T1.Document_ID = T2.Document_ID group by T2.Document_ID order by count ( * ) asc limit 1		
pets_1	SELECT count(*) ,  T1.stuid FROM student AS T1 JOIN has_pet AS T2 ON T1.stuid  =  T2.stuid GROUP BY T1.stuid	select count(*) , has_pet.stuid from Has_Pet  group by has_pet.stuid		
cre_Doc_Template_Mgt	SELECT document_id FROM Paragraphs WHERE paragraph_text  =  'Brazil' INTERSECT SELECT document_id FROM Paragraphs WHERE paragraph_text  =  'Ireland'	select Documents.Document_ID from Paragraphs join Documents on Paragraphs.Document_ID = Documents.Document_ID where  Paragraphs.Paragraph_Text = 'Brazil'  intersect select Documents.Document_ID from Paragraphs join Documents on Paragraphs.Document_ID = Documents.Document_ID where  Paragraphs.Paragraph_Text = 'Ireland'		
world_1	SELECT LANGUAGE FROM countrylanguage GROUP BY LANGUAGE ORDER BY count(*) DESC LIMIT 1	SELECT countrylanguage.Language FROM countrylanguage JOIN country GROUP BY countrylanguage.Language ORDER BY COUNT(*) DESC LIMIT 1		
course_teach	SELECT T3.Name FROM course_arrange AS T1 JOIN course AS T2 ON T1.Course_ID  =  T2.Course_ID JOIN teacher AS T3 ON T1.Teacher_ID  =  T3.Teacher_ID WHERE T2.Course  =  "Math"	select teacher.name from course_arrange join teacher on course_arrange.Teacher_ID = teacher.Teacher_ID join course on course_arrange.Course_ID = course.Course_ID where  course.course = "value"		
voter_1	SELECT T1.contestant_number , T1.contestant_name FROM contestants AS T1 JOIN votes AS T2 ON T1.contestant_number  =  T2.contestant_number GROUP BY T1.contestant_number ORDER BY count(*) ASC LIMIT 1	select T2.contestant_number , T1.contestant_name from CONTESTANTS as T1 join VOTES as T2 on T1.contestant_number = T2.contestant_number group by T1.contestant_number , T1.contestant_name order by count ( * ) asc limit 1		
tvshow	SELECT id FROM TV_Channel EXCEPT SELECT channel FROM cartoon WHERE directed_by  =  'Ben Jones'	select tv_channel.id from tv_channel where  tv_channel.id not in (select tv_channel.id from cartoon join tv_channel on cartoon.channel = tv_channel.idwhere  cartoon.directed_by = 'value'  )		
course_teach	SELECT T3.Name FROM course_arrange AS T1 JOIN course AS T2 ON T1.Course_ID  =  T2.Course_ID JOIN teacher AS T3 ON T1.Teacher_ID  =  T3.Teacher_ID WHERE T2.Course  =  "Math"	select teacher.Name from course_arrange join teacher on course_arrange.Teacher_ID = teacher.Teacher_ID join course on course_arrange.Course_ID = course.Course_ID where  course.Course = " value "		
orchestra	SELECT Orchestra FROM orchestra WHERE Orchestra_ID NOT IN (SELECT Orchestra_ID FROM performance)	select orchestra.orchestra from orchestra where not ( orchestra.orchestra_id in ( select performance.orchestra_id from performance ) )		
course_teach	SELECT T3.Name ,  T2.Course FROM course_arrange AS T1 JOIN course AS T2 ON T1.Course_ID  =  T2.Course_ID JOIN teacher AS T3 ON T1.Teacher_ID  =  T3.Teacher_ID ORDER BY T3.Name	SELECT teacher.Name, course.Course FROM course_arrange JOIN teacher ON course_arrange.Teacher_ID = teacher.Teacher_ID JOIN course ON course_arrange.Course_ID = course.Course_ID ORDER BY teacher.Name Asc		
dog_kennels	SELECT count(DISTINCT professional_id) FROM Treatments	SELECT count( Treatments.professional_id ) FROM Dogs JOIN Treatments  on Treatments.dog_id = Dogs.dog_id		
course_teach	SELECT T3.Name FROM course_arrange AS T1 JOIN course AS T2 ON T1.Course_ID  =  T2.Course_ID JOIN teacher AS T3 ON T1.Teacher_ID  =  T3.Teacher_ID WHERE T2.Course  =  "Math"	select teacher.Name from course_arrange join teacher on course_arrange.Teacher_ID = teacher.Teacher_ID join course on course_arrange.Course_ID = course.Course_ID where  course.Course = " value "		
voter_1	SELECT count(*) FROM area_code_state	SELECT count(state) FROM AREA_CODE_STATE		
tvshow	SELECT LANGUAGE ,  count(*) FROM TV_Channel GROUP BY LANGUAGE ORDER BY count(*) ASC LIMIT 1;	SELECT TV_Channel.Language , count( * ) FROM TV_Channel GROUP BY TV_Channel.Language ORDER BY count( TV_Channel.Language ) asc LIMIT 1		
world_1	SELECT LANGUAGE FROM countrylanguage GROUP BY LANGUAGE ORDER BY count(*) DESC LIMIT 1	select countrylanguage.language from countrylanguage join country on countrylanguage.CountryCode = country.Code  group by countrylanguage.language  order by count(*) desc limit 1		
pets_1	SELECT major ,  age FROM student WHERE stuid NOT IN (SELECT T1.stuid FROM student AS T1 JOIN has_pet AS T2 ON T1.stuid  =  T2.stuid JOIN pets AS T3 ON T3.petid  =  T2.petid WHERE T3.pettype  =  'cat')	SELECT Student.Major, Student.Age FROM Student WHERE Student.StuID NOT IN (SELECT Student.StuID FROM Student JOIN Has_Pet ON Student.StuID = Has_Pet.StuID JOIN Pets ON Has_Pet.PetID = Pets.PetID WHERE Pets.PetType = 1)		
cre_Doc_Template_Mgt	SELECT template_type_code FROM Templates GROUP BY template_type_code ORDER BY count(*) DESC LIMIT 1	SELECT Ref_Template_Types.Template_Type_Code FROM Ref_Template_Types JOIN Templates  on Templates.Template_Type_Code = Ref_Template_Types.Template_Type_Code  GROUP BY Templates.Template_Type_Code ORDER BY count( * ) desc LIMIT 1		
network_1	SELECT min(grade) FROM Highschooler WHERE id NOT IN (SELECT T1.student_id FROM Friend AS T1 JOIN Highschooler AS T2 ON T1.student_id  =  T2.id)	SELECT Min(Highschooler.grade) FROM Highschooler WHERE Highschooler.ID NOT IN (SELECT Friend.student_id FROM Friend)		
cre_Doc_Template_Mgt	SELECT count(*) FROM Templates WHERE template_type_code  =  "CV"	select count(*) from Templates join Ref_Template_Types on Templates.Template_Type_Code = Ref_Template_Types.Template_Type_Code where  Ref_Template_Types.Template_Type_Code = 'cv'		
concert_singer	SELECT T2.name ,  count(*) FROM singer_in_concert AS T1 JOIN singer AS T2 ON T1.singer_id  =  T2.singer_id GROUP BY T2.singer_id	select singer.Name , count(*) from singer_in_concert join singer on singer_in_concert.Singer_ID = singer.Singer_ID join concert on singer_in_concert.concert_ID = concert.concert_ID  group by singer.Singer_ID		
pets_1	SELECT count(*) ,  T1.stuid FROM student AS T1 JOIN has_pet AS T2 ON T1.stuid  =  T2.stuid GROUP BY T1.stuid	select count ( * ) , StuID from Has_Pet group by StuID		
course_teach	SELECT T3.Name ,  T2.Course FROM course_arrange AS T1 JOIN course AS T2 ON T1.Course_ID  =  T2.Course_ID JOIN teacher AS T3 ON T1.Teacher_ID  =  T3.Teacher_ID ORDER BY T3.Name	SELECT teacher.Name, course.Course FROM course_arrange JOIN teacher ON course_arrange.Teacher_ID = teacher.Teacher_ID JOIN course ON course_arrange.Course_ID = course.Course_ID ORDER BY teacher.Name Asc		
network_1	SELECT avg(grade) FROM Highschooler WHERE id IN (SELECT T1.student_id FROM Friend AS T1 JOIN Highschooler AS T2 ON T1.student_id  =  T2.id)	SELECT Avg(Highschooler.grade) FROM Highschooler WHERE Highschooler.ID IN (SELECT Friend.student_id FROM Friend)		
student_transcripts_tracking	SELECT DISTINCT T2.semester_id FROM Degree_Programs AS T1 JOIN Student_Enrolment AS T2 ON T1.degree_program_id  =  T2.degree_program_id WHERE degree_summary_name  =  'Master' INTERSECT SELECT DISTINCT T2.semester_id FROM Degree_Programs AS T1 JOIN Student_Enrolment AS T2 ON T1.degree_program_id  =  T2.degree_program_id WHERE degree_summary_name  =  'Bachelor'	select Semesters.semester_id from Student_Enrolment join Semesters on Student_Enrolment.semester_id = Semesters.semester_id join Degree_Programs on Student_Enrolment.degree_program_id = Degree_Programs.degree_program_id where  Degree_Programs.degree_summary_name = 'Master'  intersect select Semesters.semester_id from Student_Enrolment join Semesters on Student_Enrolment.semester_id = Semesters.semester_id join Degree_Programs on Student_Enrolment.degree_program_id = Degree_Programs.degree_program_id where  Degree_Programs.degree_summary_name = 'Bachelor'		
